,phi,rho,te,s
7640,1.325,0.075,18360.51624336734,10000.0
7641,1.33,0.075,18395.559335306276,10000.0
7642,1.335,0.075,18430.141363905386,10000.0
7643,1.34,0.075,18464.2886665571,10000.0
7644,1.345,0.075,18497.999648145644,10000.0
7645,1.35,0.075,18531.32224988889,10000.0
7646,1.355,0.075,18564.220919053358,10000.0
7647,1.3599999999999999,0.075,18596.756806419213,10000.0
7648,1.365,0.075,18628.9091901661,10000.0
7649,1.37,0.075,18660.711072093676,10000.0
7650,1.375,0.075,18692.16249255176,10000.0
7651,1.38,0.075,18723.277567547797,10000.0
7652,1.385,0.075,18754.040143812395,10000.0
7653,1.3900000000000001,0.075,18784.48344741258,10000.0
7654,1.395,0.075,18814.636420833736,10000.0
7655,1.4,0.075,18844.47807652388,10000.0
7656,1.405,0.075,18874.009994304743,10000.0
7657,1.4100000000000001,0.075,18903.282941373735,10000.0
7658,1.415,0.075,18932.259007408364,10000.0
7659,1.42,0.075,18960.96473683719,10000.0
7660,1.425,0.075,18989.402601181715,10000.0
7661,1.43,0.075,19017.566248563966,10000.0
7662,1.435,0.075,19045.497006213554,10000.0
7663,1.44,0.075,19073.171252199125,10000.0
7664,1.445,0.075,19100.631635722646,10000.0
7665,1.45,0.075,19127.817931968122,10000.0
7666,1.455,0.075,19154.781687979474,10000.0
7667,1.46,0.075,19181.519446590442,10000.0
7668,1.465,0.075,19208.055138449745,10000.0
7669,1.47,0.075,19234.349594650892,10000.0
7670,1.475,0.075,19260.468117651948,10000.0
7671,1.48,0.075,19286.349542686712,10000.0
7672,1.4849999999999999,0.075,19312.02472108974,10000.0
7673,1.49,0.075,19337.515406918366,10000.0
7674,1.495,0.075,19362.802886754933,10000.0
7675,1.5,0.075,19387.935713356557,10000.0
7676,1.0,0.076,199.9989233973149,10000.0
7677,1.005,0.076,205.15735518310478,399.99999999999983
7678,1.01,0.076,211.14453584414548,400.6845022149429
7679,1.015,0.076,223.0126262998688,406.9901619770003
7680,1.02,0.076,244.11440219711542,421.8729055140158
7681,1.025,0.076,278.774029670018,448.921346567962
7682,1.03,0.076,333.7793174978699,493.652596400092
7683,1.035,0.076,419.7198965766965,564.4848431264639
7684,1.04,0.076,552.9682081890653,674.1068961832406
7685,1.045,0.076,758.92890240189,841.7149804599671
7686,1.05,0.076,1076.9852062569087,1096.2879759273742
7687,1.055,0.076,1568.319678228073,1481.6613574458331
7688,1.06,0.076,2328.0970221613475,2064.2033099888763
7689,1.065,0.076,3504.578775646398,2944.541814777263
7690,1.07,0.076,5329.025311221602,4275.41067009678
7691,1.075,0.076,8162.580789517871,6288.852424678549
7692,1.08,0.076,12569.798505632594,9337.739740232306
7693,1.085,0.076,14371.39260078825,10000.0
7694,1.09,0.076,14776.435951770087,10000.0
7695,1.095,0.076,15068.166187796067,10000.0
7696,1.1,0.076,15301.312081584785,10000.0
7697,1.105,0.076,15497.403202051439,10000.0
7698,1.11,0.076,15667.599710621982,10000.0
7699,1.115,0.076,15818.549711298225,10000.0
7700,1.12,0.076,15954.569935162246,10000.0
7701,1.125,0.076,16078.656127696331,10000.0
7702,1.13,0.076,16192.959683276513,10000.0
7703,1.135,0.076,16299.077497274116,10000.0
7704,1.1400000000000001,0.076,16398.269239075467,10000.0
7705,1.145,0.076,16491.494095453603,10000.0
7706,1.15,0.076,16579.5326600301,10000.0
7707,1.155,0.076,16663.02781745528,10000.0
7708,1.16,0.076,16742.48338975028,10000.0
7709,1.165,0.076,16818.347629988228,10000.0
7710,1.17,0.076,16890.99235965256,10000.0
7711,1.175,0.076,16960.728622902043,10000.0
7712,1.18,0.076,17027.823407952666,10000.0
7713,1.185,0.076,17092.509979211212,10000.0
7714,1.19,0.076,17154.991570921087,10000.0
7715,1.195,0.076,17215.456302003313,10000.0
7716,1.2,0.076,17274.048024059153,10000.0
7717,1.205,0.076,17330.90955715757,10000.0
7718,1.21,0.076,17386.1595036764,10000.0
7719,1.215,0.076,17439.911317344464,10000.0
7720,1.22,0.076,17492.278543448534,10000.0
7721,1.225,0.076,17543.343228329137,10000.0
7722,1.23,0.076,17593.17593175429,10000.0
7723,1.235,0.076,17641.865940799813,10000.0
7724,1.24,0.076,17689.456201170833,10000.0
7725,1.245,0.076,17736.034162535125,10000.0
7726,1.25,0.076,17781.649510803465,10000.0
7727,1.255,0.076,17826.3384244398,10000.0
7728,1.26,0.076,17870.17421494674,10000.0
7729,1.2650000000000001,0.076,17913.17327706268,10000.0
7730,1.27,0.076,17955.377998675733,10000.0
7731,1.275,0.076,17996.845734119455,10000.0
7732,1.28,0.076,18037.613079631334,10000.0
7733,1.2850000000000001,0.076,18077.68661625067,10000.0
7734,1.29,0.076,18117.096401248415,10000.0
7735,1.295,0.076,18155.902847515816,10000.0
7736,1.3,0.076,18194.107102491813,10000.0
7737,1.305,0.076,18231.74008539562,10000.0
7738,1.31,0.076,18268.82203576541,10000.0
7739,1.315,0.076,18305.361284588176,10000.0
7740,1.32,0.076,18341.39294196609,10000.0
7741,1.325,0.076,18376.953367704562,10000.0
7742,1.33,0.076,18412.030644280952,10000.0
7743,1.335,0.076,18446.646360696635,10000.0
7744,1.34,0.076,18480.82411532771,10000.0
7745,1.345,0.076,18514.592026483828,10000.0
7746,1.35,0.076,18547.933691127742,10000.0
7747,1.355,0.076,18580.884312800405,10000.0
7748,1.3599999999999999,0.076,18613.440403920245,10000.0
7749,1.365,0.076,18645.633563536332,10000.0
7750,1.37,0.076,18677.4671409697,10000.0
7751,1.375,0.076,18708.946082106475,10000.0
7752,1.38,0.076,18740.080660448577,10000.0
7753,1.385,0.076,18770.881663870285,10000.0
7754,1.3900000000000001,0.076,18801.369248890736,10000.0
7755,1.395,0.076,18831.550314175478,10000.0
7756,1.4,0.076,18861.422491029803,10000.0
7757,1.405,0.076,18890.996971401808,10000.0
7758,1.4100000000000001,0.076,18920.282283839926,10000.0
7759,1.415,0.076,18949.304442924753,10000.0
7760,1.42,0.076,18978.031171053695,10000.0
7761,1.425,0.076,19006.51565306709,10000.0
