,phi,rho,te,s
557,1.26,0.005,12962.860161707375,10000.0
558,1.2650000000000001,0.005,13242.150329828846,10000.0
559,1.27,0.005,13526.434387593948,10000.0
560,1.275,0.005,13816.335621963384,10000.0
561,1.28,0.005,14112.350722763813,10000.0
562,1.2850000000000001,0.005,14414.889476645167,10000.0
563,1.29,0.005,14724.30215061844,10000.0
564,1.295,0.005,15040.897509549124,10000.0
565,1.3,0.005,15364.956765176168,10000.0
566,1.305,0.005,15696.731084599924,10000.0
567,1.31,0.005,16036.474440839032,10000.0
568,1.315,0.005,16384.42104085748,10000.0
569,1.32,0.005,16740.80347817513,10000.0
570,1.325,0.005,17105.850986291112,10000.0
571,1.33,0.005,17479.794113856013,10000.0
572,1.335,0.005,17862.863828298567,10000.0
573,1.34,0.005,18255.288563713522,10000.0
574,1.345,0.005,18657.30917310561,10000.0
575,1.35,0.005,19069.16540108105,10000.0
576,1.355,0.005,19491.101490119574,10000.0
577,1.3599999999999999,0.005,19923.36660402264,10000.0
578,1.365,0.005,20366.217534573534,10000.0
579,1.37,0.005,20819.91392458827,10000.0
580,1.375,0.005,21284.72188489958,10000.0
581,1.38,0.005,21760.916507087368,10000.0
582,1.385,0.005,22248.7759764607,10000.0
583,1.3900000000000001,0.005,22748.586679476335,10000.0
584,1.395,0.005,23260.642566292456,10000.0
585,1.4,0.005,23785.2431466232,10000.0
586,1.405,0.005,24322.69605993274,10000.0
587,1.4100000000000001,0.005,24873.316554312645,10000.0
588,1.415,0.005,25437.427350819682,10000.0
589,1.42,0.005,26015.358598269086,10000.0
590,1.425,0.005,26607.44963728937,10000.0
591,1.43,0.005,27214.046911117213,10000.0
592,1.435,0.005,27835.50570251362,10000.0
593,1.44,0.005,28472.190924795035,10000.0
594,1.445,0.005,29124.47493334853,10000.0
595,1.45,0.005,29792.742141623985,10000.0
596,1.455,0.005,30477.379556394913,10000.0
597,1.46,0.005,31178.79154072586,10000.0
598,1.465,0.005,31897.389462438834,10000.0
599,1.47,0.005,32633.59285445801,10000.0
600,1.475,0.005,33387.83326662741,10000.0
601,1.48,0.005,34160.5537460002,10000.0
602,1.4849999999999999,0.005,34952.205479281416,10000.0
603,1.49,0.005,35763.25376202597,10000.0
604,1.495,0.005,36594.17310180728,10000.0
605,1.5,0.005,37445.45039364096,10000.0
606,1.0,0.006,4389.0644099208175,10000.0
607,1.005,0.006,4469.021439690538,10000.0
608,1.01,0.006,4550.947941721558,10000.0
609,1.015,0.006,4634.892427781726,10000.0
610,1.02,0.006,4720.904604583513,10000.0
611,1.025,0.006,4809.035403218173,10000.0
612,1.03,0.006,4899.337009314924,10000.0
613,1.035,0.006,4991.862893943105,10000.0
614,1.04,0.006,5086.667845275285,10000.0
615,1.045,0.006,5183.808001030651,10000.0
616,1.05,0.006,5283.340881717316,10000.0
617,1.055,0.006,5385.325424693428,10000.0
618,1.06,0.006,5489.822019067503,10000.0
619,1.065,0.006,5596.892541458316,10000.0
620,1.07,0.006,5706.600392635587,10000.0
621,1.075,0.006,5819.010535063225,10000.0
622,1.08,0.006,5934.189531367632,10000.0
623,1.085,0.006,6052.205583752974,10000.0
624,1.09,0.006,6173.128574388179,10000.0
625,1.095,0.006,6297.03010678784,10000.0
626,1.1,0.006,6423.997586061018,10000.0
627,1.105,0.006,6554.1197696908175,10000.0
628,1.11,0.006,6687.468880720111,10000.0
629,1.115,0.006,6824.123556622345,10000.0
630,1.12,0.006,6964.164386938054,10000.0
631,1.125,0.006,7107.674936541349,10000.0
632,1.13,0.006,7254.740044087829,10000.0
633,1.135,0.006,7405.448664252856,10000.0
634,1.1400000000000001,0.006,7559.890879193496,10000.0
635,1.145,0.006,7718.161706769449,10000.0
636,1.15,0.006,7880.35696581958,10000.0
637,1.155,0.006,8046.580081263728,10000.0
638,1.16,0.006,8216.93574041244,10000.0
639,1.165,0.006,8391.537299014535,10000.0
640,1.17,0.006,8570.503614759375,10000.0
641,1.175,0.006,8753.96988881118,10000.0
642,1.18,0.006,8942.088360454334,10000.0
643,1.185,0.006,9135.051464315904,10000.0
644,1.19,0.006,9333.151232502905,10000.0
645,1.195,0.006,9537.000267838986,10000.0
646,1.2,0.006,9749.328404843034,10000.0
647,1.205,0.006,10764.144277113353,10000.0
648,1.21,0.006,11166.915894707776,10000.0
649,1.215,0.006,11489.514619409356,10000.0
650,1.22,0.006,11788.125204546166,10000.0
651,1.225,0.006,12077.398705827552,10000.0
652,1.23,0.006,12363.760031896181,10000.0
653,1.235,0.006,12650.696195571993,10000.0
654,1.24,0.006,12940.34661977709,10000.0
655,1.245,0.006,13234.136743828305,10000.0
656,1.25,0.006,13533.077647031674,10000.0
657,1.255,0.006,13837.92209308961,10000.0
658,1.26,0.006,14149.256016828416,10000.0
659,1.2650000000000001,0.006,14467.55376512007,10000.0
660,1.27,0.006,14793.213964487253,10000.0
661,1.275,0.006,15126.582569101218,10000.0
662,1.28,0.006,15467.970377714304,10000.0
663,1.2850000000000001,0.006,15817.664760820435,10000.0
664,1.29,0.006,16175.9354508709,10000.0
665,1.295,0.006,16543.043461999037,10000.0
666,1.3,0.006,16919.243080504544,10000.0
667,1.305,0.006,17304.78638369394,10000.0
668,1.31,0.006,17699.92579964435,10000.0
669,1.315,0.006,18104.91369860808,10000.0
670,1.32,0.006,18520.006498003553,10000.0
671,1.325,0.006,18945.463888989165,10000.0
672,1.33,0.006,19381.55023803139,10000.0
673,1.335,0.006,19828.535434854268,10000.0
674,1.34,0.006,20286.69465295028,10000.0
675,1.345,0.006,20756.309328536066,10000.0
676,1.35,0.006,21237.668304076506,10000.0
677,1.355,0.006,21731.064226910847,10000.0
678,1.3599999999999999,0.006,22236.802947682634,10000.0
679,1.365,0.006,22755.190229407486,10000.0
680,1.37,0.006,23286.544022238282,10000.0
681,1.375,0.006,23831.188877461107,10000.0
682,1.38,0.006,24389.45814189548,10000.0
683,1.385,0.006,24961.691665493614,10000.0
684,1.3900000000000001,0.006,25548.24011967694,10000.0
685,1.395,0.006,26149.461346800606,10000.0
686,1.4,0.006,26765.727705284677,10000.0
687,1.405,0.006,27397.397913277076,10000.0
688,1.4100000000000001,0.006,28044.8759446832,10000.0
689,1.415,0.006,28708.55039816289,10000.0
690,1.42,0.006,29388.82756999716,10000.0
691,1.425,0.006,30086.122253046447,10000.0
692,1.43,0.006,30800.859713049344,10000.0
693,1.435,0.006,31533.476891531605,10000.0
694,1.44,0.006,32284.420209279717,10000.0
695,1.445,0.006,33054.150091079624,10000.0
696,1.45,0.006,33843.13322760194,10000.0
697,1.455,0.006,34651.85492182304,10000.0
698,1.46,0.006,35480.80619623923,10000.0
699,1.465,0.006,36330.4940270307,10000.0
700,1.47,0.006,37201.43785770748,10000.0
701,1.475,0.006,38094.16841754734,10000.0
702,1.48,0.006,39009.23129435821,10000.0
703,1.4849999999999999,0.006,39947.18637378033,10000.0
704,1.49,0.006,40908.60211277451,10000.0
705,1.495,0.006,41894.06881728046,10000.0
706,1.5,0.006,42904.189452127044,10000.0
707,1.0,0.007,4389.0644099208175,10000.0
708,1.005,0.007,4475.891907125692,10000.0
709,1.01,0.007,4564.888502204986,10000.0
710,1.015,0.007,4656.108383409016,10000.0
711,1.02,0.007,4749.607092726653,10000.0
712,1.025,0.007,4845.441559704591,10000.0
713,1.03,0.007,4943.670136112016,10000.0
714,1.035,0.007,5044.352631471018,10000.0
715,1.04,0.007,5147.550349474559,10000.0
716,1.045,0.007,5253.326125314387,10000.0
717,1.05,0.007,5361.744363941747,10000.0
718,1.055,0.007,5472.871079283107,10000.0
719,1.06,0.007,5586.773934436793,10000.0
720,1.065,0.007,5703.522282872765,10000.0
721,1.07,0.007,5823.187210662359,10000.0
722,1.075,0.007,5945.841579762555,10000.0
723,1.08,0.007,6071.560072381998,10000.0
724,1.085,0.007,6200.423569287024,10000.0
725,1.09,0.007,6332.534268351939,10000.0
726,1.095,0.007,6467.9695461277015,10000.0
