,x,Admin,A_shk_c,A_shk,A_pool_shk,A_pool_exp,A_exp_add,A_exp_rem,A_exp,Ecap,Access
136,136,0.495,0.0,0.0025,0.0475,0.4475,0.0075,0.0375,2.9625,0.6296737394900424,0.9643039025336587
137,137,0.5125,0.0025,0.0025,0.05,0.4625,0.0225,0.0075,8.9925,0.598217830443108,0.9523201495072067
138,138,0.5075,0.0025,0.0025,0.0525,0.455,0.0125,0.02,4.98,0.632219616253987,0.9970661221725264
139,139,0.5075,0.0,0.0025,0.0525,0.455,0.03,0.0325,11.9675,0.6262790653872989,0.984862871470111
140,140,0.5125,0.0,0.0025,0.0525,0.46,0.0225,0.02,8.98,0.6207233790906393,0.9867162345839396
141,141,0.5025,0.0,0.0025,0.05,0.4525,0.03,0.0425,11.9575,0.5372088910212199,0.8358192618959417
142,142,0.5025,0.0025,0.0025,0.0525,0.45,0.0275,0.03,10.97,0.534999717313263,0.8335683749020398
143,143,0.4925,0.0,0.0025,0.0525,0.44,0.0175,0.03,6.97,0.5860431935706527,0.8928129416302347
144,144,0.515,0.0,0.0025,0.05,0.465,0.0425,0.0225,16.9775,0.5955706244244205,0.9518943561261379
145,145,0.51,0.0025,0.0025,0.0525,0.4575,0.0225,0.03,8.97,0.6110823504308633,0.9661504228634412
146,146,0.5175,0.0,0.0025,0.05,0.4675,0.0275,0.0225,10.9775,0.6042636603308614,0.9682472259750624
147,147,0.5325,0.0025,0.0025,0.0525,0.48,0.03,0.0175,11.9825,0.6009513319071915,0.9925845028274661
148,148,0.5475,0.0,0.0025,0.0525,0.495,0.035,0.0225,13.9775,0.5503901788215345,0.9408213793380468
149,149,0.545,0.0,0.0025,0.0525,0.4925,0.015,0.02,5.98,0.5611118633821175,0.9521396598090686
150,150,0.5225,0.0025,0.0025,0.055,0.4675,0.01,0.035,3.965,0.6138765387741091,0.9915949616858295
151,151,0.5175,0.0,0.0025,0.055,0.4625,0.0175,0.025,6.975,0.589552712619992,0.9432965125325234
152,152,0.5175,0.0,0.0025,0.055,0.4625,0.0275,0.03,10.97,0.6158578927260115,0.9839481254716467
153,153,0.515,0.0,0.0025,0.0575,0.4575,0.0175,0.0225,6.9775,0.5890234869257686,0.9346117796468741
154,154,0.5025,0.0,0.0025,0.055,0.4475,0.0225,0.0375,8.9625,0.5472788425255332,0.8466554828250501
155,155,0.5125,0.0025,0.0025,0.0575,0.455,0.025,0.0175,9.9825,0.5846730982072419,0.9267215313268871
156,156,0.505,0.0,0.0025,0.055,0.45,0.02,0.03,7.97,0.607267756863218,0.9471555875928105
157,157,0.505,0.0025,0.0025,0.0575,0.4475,0.035,0.0375,13.9625,0.637006394763898,0.992120817266767
158,158,0.5225,0.0,0.0025,0.0575,0.465,0.0325,0.0175,12.9825,0.5874138444909827,0.9502482487531485
159,159,0.5175,0.0,0.0025,0.055,0.4625,0.03,0.0375,11.9625,0.6232634646674019,0.998691730668347
160,160,0.495,0.0,0.0025,0.045,0.45,0.0275,0.0525,10.9475,0.6398924424124227,0.9744644092705051
161,161,0.5025,0.0,0.0025,0.045,0.4575,0.02,0.015,7.985,0.6437045616272971,0.9944148518314618
162,162,0.5025,0.0025,0.0025,0.0425,0.46,0.02,0.0225,7.9775,0.6212570699975168,0.9583752845338963
163,163,0.48,0.0025,0.0025,0.045,0.435,0.0175,0.0425,6.9575,0.6777947505408884,0.9981405296937659
164,164,0.485,0.0025,0.0025,0.0475,0.4375,0.015,0.0125,5.9875,0.6464816354591939,0.9617354007067308
165,165,0.495,0.0025,0.0025,0.05,0.445,0.025,0.0175,9.9825,0.6362714525637018,0.9662366169734905
166,166,0.515,0.0,0.0025,0.05,0.465,0.0375,0.02,14.98,0.536686832625908,0.851568480522674
167,167,0.5175,0.0,0.0025,0.0425,0.475,0.025,0.025,9.975,0.5592498724242292,0.8922036461419027
168,168,0.525,0.0025,0.0025,0.045,0.48,0.0275,0.0225,10.9775,0.5979096480146672,0.971154657521443
169,169,0.5325,0.0,0.0025,0.0425,0.49,0.0375,0.0325,14.9675,0.5570766471260495,0.9201171833159301
170,170,0.5525,0.0025,0.0025,0.045,0.5075,0.0275,0.01,10.99,0.5448173246055961,0.9422521021807595
171,171,0.54,0.0,0.0025,0.04,0.5,0.015,0.03,5.97,0.5652283502326102,0.949610232401747
172,172,0.5325,0.0025,0.0025,0.0425,0.49,0.0225,0.0325,8.9675,0.5518088529472943,0.9114164273839594
173,173,0.525,0.0025,0.0025,0.0425,0.4825,0.03,0.04,11.96,0.6025681556515771,0.9801703077257585
174,174,0.515,0.0025,0.0025,0.04,0.475,0.0175,0.03,6.97,0.5131601143556164,0.8166075160202261
175,175,0.5225,0.0025,0.0025,0.0425,0.48,0.0275,0.0225,10.9775,0.5405410861234735,0.8744230754606269
176,176,0.535,0.0,0.0025,0.04,0.495,0.03,0.02,11.98,0.5939866753060459,0.9881217541509529
177,177,0.5475,0.0,0.0025,0.04,0.5075,0.0325,0.0225,12.9775,0.5195576872347311,0.8922390889211592
178,178,0.5475,0.0,0.0025,0.0375,0.51,0.025,0.0275,9.9725,0.555526637436261,0.9540087521284795
179,179,0.5325,0.0,0.0025,0.0375,0.495,0.0275,0.045,10.955,0.5051569703335204,0.8381267932874408
180,180,0.525,0.0025,0.0025,0.04,0.485,0.025,0.035,9.965,0.6020013956378997,0.9792483848995978
181,181,0.52,0.0,0.0025,0.04,0.48,0.02,0.0275,7.9725,0.6020747971773738,0.9686200741005017
182,182,0.54,0.0,0.0025,0.04,0.5,0.045,0.0275,17.9725,0.5815266357836473,0.9814625250167854
183,183,0.5425,0.0,0.0025,0.0375,0.505,0.0375,0.0375,14.9625,0.559552804137175,0.9498298544896344
184,184,0.54,0.0025,0.0025,0.04,0.5,0.025,0.03,9.97,0.5529373373181463,0.9317916714572823
185,185,0.5425,0.0,0.0025,0.04,0.5025,0.0225,0.0225,8.9775,0.4361382049343509,0.7392044164487135
186,186,0.5325,0.0025,0.0025,0.0425,0.49,0.025,0.0375,9.9625,0.6030176429180751,0.9959974053014747
187,187,0.5275,0.0,0.0025,0.0425,0.485,0.0225,0.03,8.97,0.5038421493589063,0.824147687166503
188,188,0.535,0.0025,0.0025,0.045,0.49,0.0275,0.0225,10.9775,0.5574303531993543,0.925912469408029
189,189,0.5375,0.0,0.0025,0.0425,0.495,0.0225,0.0225,8.9775,0.5962867026538805,0.9991118521216007
190,190,0.5125,0.0,0.0025,0.04,0.4725,0.015,0.0425,5.9575,0.6091594057237008,0.9669320699332848
191,191,0.5225,0.0025,0.0025,0.0425,0.48,0.02,0.0125,7.9875,0.614527857283467,0.9970447141882752
192,192,0.525,0.0,0.0025,0.0425,0.4825,0.03,0.03,11.97,0.5814588642382034,0.9458327801507315
193,193,0.5325,0.0,0.0025,0.04,0.4925,0.0275,0.0225,10.9775,0.6001092253947229,0.9911936050465198
194,194,0.52,0.0025,0.0025,0.04,0.48,0.0175,0.0325,6.9675,0.5838163269095474,0.9392457822239832
195,195,0.5275,0.0025,0.0025,0.0425,0.485,0.03,0.025,11.975,0.5800802847579036,0.9474432147311319
196,196,0.52,0.0025,0.0025,0.045,0.475,0.02,0.03,7.97,0.5947515050739159,0.9568383357298433
197,197,0.535,0.0025,0.0025,0.0475,0.4875,0.0325,0.02,12.98,0.5857384112868773,0.9773436123914949
198,198,0.5325,0.0,0.0025,0.0475,0.485,0.0175,0.0225,6.9775,0.6023268878988657,0.9963498419510664
199,199,0.5175,0.0,0.0025,0.045,0.4725,0.0175,0.035,6.965,0.6165783609525082,0.9865381078560365
200,200,0.5125,0.0025,0.0025,0.0475,0.465,0.01,0.0175,3.9825,0.6201839333366791,0.9830070960480193
201,201,0.5125,0.0,0.0025,0.0475,0.465,0.025,0.0275,9.9725,0.6150355221162411,0.9748467350792416
202,202,0.52,0.0,0.0025,0.0475,0.4725,0.02,0.015,7.985,0.5713841712703931,0.9192448860348691
203,203,0.5275,0.0025,0.0025,0.05,0.4775,0.025,0.02,9.98,0.5772603014602228,0.942837345317456
204,204,0.52,0.0025,0.0025,0.0525,0.4675,0.02,0.03,7.97,0.6103952965088516,0.9805673972890248
205,205,0.52,0.0,0.0025,0.0475,0.4725,0.0275,0.03,10.97,0.590843677651429,0.9477688349655318
206,206,0.5325,0.0025,0.0025,0.05,0.4825,0.025,0.015,9.985,0.5986789085532047,0.9888311669327404
207,207,0.5425,0.0,0.0025,0.05,0.4925,0.025,0.0175,9.9825,0.47308849350945814,0.7993833938643609
208,208,0.54,0.0,0.0025,0.05,0.49,0.02,0.025,7.975,0.5863389774069762,0.985077079683817
209,209,0.5225,0.0,0.0025,0.0425,0.48,0.0225,0.0425,8.9575,0.5741827889723171,0.9288446208787281
210,210,0.5325,0.0025,0.0025,0.045,0.4875,0.025,0.0175,9.9825,0.5859604512175266,0.9678242351214701
211,211,0.5375,0.0025,0.0025,0.045,0.4925,0.0175,0.015,6.985,0.5905193587203181,0.9864562559623115
212,212,0.5575,0.0025,0.0025,0.0475,0.51,0.035,0.0175,13.9825,0.5068702353216792,0.8856603532918642
213,213,0.545,0.0025,0.0025,0.0475,0.4975,0.0075,0.0225,2.9775,0.5879034046819472,0.9976016981007251
214,214,0.535,0.0025,0.0025,0.05,0.485,0.0175,0.03,6.97,0.5545489643683184,0.9197400488901295
215,215,0.5225,0.0,0.0025,0.0475,0.475,0.02,0.035,7.965,0.5800612246088214,0.9369730743254113
216,216,0.51,0.0,0.0025,0.0475,0.4625,0.0125,0.0275,4.9725,0.621137790866262,0.9764031617598455
217,217,0.5075,0.0,0.0025,0.0425,0.465,0.025,0.03,9.97,0.6125969972419576,0.9578333192774652
218,218,0.495,0.0,0.0025,0.0375,0.4575,0.0175,0.0325,6.9675,0.6416126105254122,0.9784560002161022
219,219,0.4925,0.0025,0.0025,0.04,0.4525,0.02,0.025,7.975,0.6456040259304856,0.9780659477328919
220,220,0.5025,0.0025,0.0025,0.04,0.4625,0.0275,0.02,10.98,0.6401399523974421,0.9903141842129137
221,221,0.4975,0.0025,0.0025,0.04,0.4575,0.0225,0.03,8.97,0.6513349214905468,0.9970838450886952
222,222,0.4875,0.0025,0.0025,0.0425,0.445,0.0275,0.04,10.96,0.6463746620479148,0.9705255272733514
223,223,0.495,0.0025,0.0025,0.0425,0.4525,0.0375,0.0325,14.9675,0.6183341220670848,0.9469380245425384
224,224,0.4925,0.0,0.0025,0.04,0.4525,0.025,0.03,9.97,0.6479961219940077,0.9858154045718025
225,225,0.4925,0.0025,0.0025,0.0425,0.45,0.025,0.0275,9.9725,0.6278644961607802,0.9551885748858451
226,226,0.505,0.0025,0.0025,0.045,0.46,0.03,0.02,11.98,0.6286041401011859,0.9790345251488629
227,227,0.5025,0.0025,0.0025,0.0475,0.455,0.02,0.025,7.975,0.6266360881945584,0.9694233333736305
228,228,0.5025,0.0,0.0025,0.0475,0.455,0.0225,0.025,8.975,0.5636881449187623,0.8732816058944579
229,229,0.515,0.0,0.0025,0.045,0.47,0.0325,0.0225,12.9775,0.5974004708150131,0.949281392177133
230,230,0.5,0.0025,0.0025,0.045,0.455,0.015,0.0325,5.9675,0.5181599742890927,0.7973900812684944
231,231,0.5025,0.0025,0.0025,0.045,0.4575,0.025,0.025,9.975,0.626461884647526,0.9677778274942869
232,232,0.5125,0.0,0.0025,0.045,0.4675,0.025,0.0175,9.9825,0.5700342394375831,0.8996058312017017
233,233,0.4875,0.0,0.0025,0.0425,0.445,0.005,0.0325,1.9675,0.6557754071123945,0.9832774499773442
234,234,0.515,0.0025,0.0025,0.045,0.47,0.0375,0.0125,14.9875,0.5945373509415114,0.9447318369754442
235,235,0.485,0.0,0.0025,0.045,0.44,0.0125,0.045,4.955,0.6292864699899292,0.940035869976583
236,236,0.5,0.0,0.0025,0.045,0.455,0.0275,0.015,10.985,0.6214683175673774,0.9563700340435133
