,p_e,phi,rho,te,s
98,0.0,1.5,0.8,23583.070075658816,10000.0
99,0.0,1.0,0.9,199.9989233973149,10000.0
100,0.0,1.05,0.9,2730.146647577707,2338.2341028774485
101,0.0,1.1,0.9,17748.305492412273,10000.0
102,0.0,1.15,0.9,20088.619425246263,10000.0
103,0.0,1.2,0.9,21176.065362118134,10000.0
104,0.0,1.25,0.9,21914.515935912546,10000.0
105,0.0,1.3,0.9,22492.82966189078,10000.0
106,0.0,1.35,0.9,22978.508597760596,10000.0
107,0.0,1.4,0.9,23403.03706560127,10000.0
108,0.0,1.45,0.9,23783.699050111274,10000.0
109,0.0,1.5,0.9,24130.88231101053,10000.0
110,0.0,1.0,1.0,199.9989233973149,10000.0
111,0.0,1.05,1.0,2841.593647348972,2418.692238988434
112,0.0,1.1,1.0,18173.39161754604,10000.0
113,0.0,1.15,1.0,24563.338701986013,10000.0
114,0.0,1.2,1.0,33143.375178121605,10000.0
115,0.0,1.25,1.0,44719.62335994799,10000.0
116,0.0,1.3,1.0,60339.24627536827,10000.0
117,0.0,1.35,1.0,81414.53540203803,10000.0
118,0.0,1.4,1.0,109851.0615278801,10000.0
119,0.0,1.45,1.0,148219.97847690686,10000.0
120,0.0,1.5,1.0,199990.49999999997,10000.0
