,p_e,phi,rho,te,s
1519,0.0024022488679628627,1.05,0.6000000000000001,308.137229280431,865.9767390092945
1520,0.0024022488679628627,1.1,0.6000000000000001,549.9313194165275,984.2039842410355
1521,0.0024022488679628627,1.15,0.6000000000000001,1104.9444838605216,1287.8307846090368
1522,0.0024022488679628627,1.2,0.6000000000000001,14727.131160091358,10000.0
1523,0.0024022488679628627,1.25,0.6000000000000001,19312.335190885766,10000.0
1524,0.0024022488679628627,1.3,0.6000000000000001,25206.067562952518,10000.0
1525,0.0024022488679628627,1.35,0.6000000000000001,32896.61548528412,10000.0
1526,0.0024022488679628627,1.4,0.6000000000000001,42934.77883483282,10000.0
1527,0.0024022488679628627,1.45,0.6000000000000001,56037.68407500967,10000.0
1528,0.0024022488679628627,1.5,0.6000000000000001,73141.51339738298,10000.0
1529,0.0024022488679628627,1.0,0.7000000000000001,191.55990632727935,815.1797996682526
1530,0.0024022488679628627,1.05,0.7000000000000001,308.30785507754587,866.0469613560036
1531,0.0024022488679628627,1.1,0.7000000000000001,550.2038286733657,984.2391053051158
1532,0.0024022488679628627,1.15,0.7000000000000001,1105.3908407749257,1287.8397399843343
1533,0.0024022488679628627,1.2,0.7000000000000001,14727.826569119654,10000.0
1534,0.0024022488679628627,1.25,0.7000000000000001,19313.393885011377,10000.0
1535,0.0024022488679628627,1.3,0.7000000000000001,25207.634295185624,10000.0
1536,0.0024022488679628627,1.35,0.7000000000000001,32898.887703969456,10000.0
1537,0.0024022488679628627,1.4,0.7000000000000001,42938.0376775721,10000.0
1538,0.0024022488679628627,1.45,0.7000000000000001,56042.26438985325,10000.0
1539,0.0024022488679628627,1.5,0.7000000000000001,73147.92126136392,10000.0
1540,0.0024022488679628627,1.0,0.8,191.55990632727935,815.1797996682526
1541,0.0024022488679628627,1.05,0.8,308.4400649450115,866.0981517456629
1542,0.0024022488679628627,1.1,0.8,550.408224820083,984.2576146878534
1543,0.0024022488679628627,1.15,0.8,1105.738898986294,1287.8614850427716
1544,0.0024022488679628627,1.2,0.8,14728.356012857079,10000.0
1545,0.0024022488679628627,1.25,0.8,19314.205568921145,10000.0
1546,0.0024022488679628627,1.3,0.8,25208.83553130679,10000.0
1547,0.0024022488679628627,1.35,0.8,32900.62644505495,10000.0
1548,0.0024022488679628627,1.4,0.8,42940.52105020743,10000.0
1549,0.0024022488679628627,1.45,0.8,56045.77842894917,10000.0
1550,0.0024022488679628627,1.5,0.8,73152.87635748142,10000.0
1551,0.0024022488679628627,1.0,0.9,191.55990632727935,815.1797996682526
1552,0.0024022488679628627,1.05,0.9,308.5505500619851,866.1460368743542
1553,0.0024022488679628627,1.1,0.9,550.5760402869827,984.2705751844003
1554,0.0024022488679628627,1.15,0.9,1106.0036729398184,1287.854879059221
1555,0.0024022488679628627,1.2,0.9,14728.778679646437,10000.0
1556,0.0024022488679628627,1.25,0.9,19314.853140331066,10000.0
1557,0.0024022488679628627,1.3,0.9,25209.79603733807,10000.0
1558,0.0024022488679628627,1.35,0.9,32902.02093251417,10000.0
1559,0.0024022488679628627,1.4,0.9,42942.529730589,10000.0
1560,0.0024022488679628627,1.45,0.9,56048.61716225561,10000.0
1561,0.0024022488679628627,1.5,0.9,73156.87730671607,10000.0
1562,0.0024022488679628627,1.0,1.0,191.55990632727935,815.1797996682526
1563,0.0024022488679628627,1.05,1.0,308.73614386899214,866.2555650578632
1564,0.0024022488679628627,1.1,1.0,550.7756188387679,984.3297282303797
1565,0.0024022488679628627,1.15,1.0,1106.2986486327397,1287.9039455071286
1566,0.0024022488679628627,1.2,1.0,14729.166793371245,10000.0
1567,0.0024022488679628627,1.25,1.0,19315.432186443075,10000.0
1568,0.0024022488679628627,1.3,1.0,25210.652451754253,10000.0
1569,0.0024022488679628627,1.35,1.0,32903.25953230974,10000.0
1570,0.0024022488679628627,1.4,1.0,42944.28871256832,10000.0
1571,0.0024022488679628627,1.45,1.0,56051.12249786422,10000.0
1572,0.0024022488679628627,1.5,1.0,73160.38265863869,10000.0
1573,0.0031309021669144823,1.0,0.0,1151.15021717558,10000.0
1574,0.0031309021669144823,1.05,0.0,1151.15021717558,10000.0
1575,0.0031309021669144823,1.1,0.0,1151.15021717558,10000.0
1576,0.0031309021669144823,1.15,0.0,1151.15021717558,10000.0
1577,0.0031309021669144823,1.2,0.0,1151.15021717558,10000.0
1578,0.0031309021669144823,1.25,0.0,1151.15021717558,10000.0
1579,0.0031309021669144823,1.3,0.0,1151.15021717558,10000.0
1580,0.0031309021669144823,1.35,0.0,1151.15021717558,10000.0
1581,0.0031309021669144823,1.4,0.0,1151.15021717558,10000.0
1582,0.0031309021669144823,1.45,0.0,1151.15021717558,10000.0
1583,0.0031309021669144823,1.5,0.0,1151.15021717558,10000.0
1584,0.0031309021669144823,1.0,0.1,1151.15021717558,10000.0
1585,0.0031309021669144823,1.05,0.1,1436.5927345857954,10000.0
1586,0.0031309021669144823,1.1,0.1,1850.34478516078,10000.0
1587,0.0031309021669144823,1.15,0.1,2539.159194598965,10000.0
1588,0.0031309021669144823,1.2,0.1,14638.59512795012,10000.0
1589,0.0031309021669144823,1.25,0.1,19165.65134945829,10000.0
1590,0.0031309021669144823,1.3,0.1,25001.800779090565,10000.0
1591,0.0031309021669144823,1.35,0.1,32614.17192848262,10000.0
1592,0.0031309021669144823,1.4,0.1,42545.684136352334,10000.0
1593,0.0031309021669144823,1.45,0.1,55503.18852296463,10000.0
1594,0.0031309021669144823,1.5,0.1,72408.97654080494,10000.0
1595,0.0031309021669144823,1.0,0.2,1151.15021717558,10000.0
1596,0.0031309021669144823,1.05,0.2,1439.316370678293,10000.0
1597,0.0031309021669144823,1.1,0.2,1854.58004083458,10000.0
1598,0.0031309021669144823,1.15,0.2,2546.299227055588,10000.0
1599,0.0031309021669144823,1.2,0.2,14649.71993401375,10000.0
1600,0.0031309021669144823,1.25,0.2,19182.578668689468,10000.0
1601,0.0031309021669144823,1.3,0.2,25026.73467907867,10000.0
1602,0.0031309021669144823,1.35,0.2,32650.111696584423,10000.0
1603,0.0031309021669144823,1.4,0.2,42596.72440029754,10000.0
1604,0.0031309021669144823,1.45,0.2,55574.95842309437,10000.0
1605,0.0031309021669144823,1.5,0.2,72509.16243898461,10000.0
1606,0.0031309021669144823,1.0,0.30000000000000004,1151.15021717558,10000.0
1607,0.0031309021669144823,1.05,0.30000000000000004,1440.1430085288046,10000.0
1608,0.0031309021669144823,1.1,0.30000000000000004,1855.9622020183947,10000.0
1609,0.0031309021669144823,1.15,0.30000000000000004,2548.654776099267,10000.0
1610,0.0031309021669144823,1.2,0.30000000000000004,14653.3722992082,10000.0
1611,0.0031309021669144823,1.25,0.30000000000000004,19188.14598899688,10000.0
1612,0.0031309021669144823,1.3,0.30000000000000004,25034.93479841649,10000.0
1613,0.0031309021669144823,1.35,0.30000000000000004,32661.93772049307,10000.0
1614,0.0031309021669144823,1.4,0.30000000000000004,42613.56084201015,10000.0
1615,0.0031309021669144823,1.45,0.30000000000000004,55598.655478273366,10000.0
1616,0.0031309021669144823,1.5,0.30000000000000004,72542.26728557111,10000.0
1617,0.0031309021669144823,1.0,0.4,1151.15021717558,10000.0
1618,0.0031309021669144823,1.05,0.4,1440.542386394671,10000.0
1619,0.0031309021669144823,1.1,0.4,1856.6405389379038,10000.0
1620,0.0031309021669144823,1.15,0.4,2549.8121867043665,10000.0
1621,0.0031309021669144823,1.2,0.4,14655.187113708012,10000.0
1622,0.0031309021669144823,1.25,0.4,19190.917000943755,10000.0
1623,0.0031309021669144823,1.3,0.4,25039.02381890208,10000.0
1624,0.0031309021669144823,1.35,0.4,32667.834412514618,10000.0
1625,0.0031309021669144823,1.4,0.4,42621.96190291463,10000.0
1626,0.0031309021669144823,1.45,0.4,55610.49667513828,10000.0
1627,0.0031309021669144823,1.5,0.4,72558.82768815862,10000.0
1628,0.0031309021669144823,1.0,0.5,1151.15021717558,10000.0
1629,0.0031309021669144823,1.05,0.5,1440.7803449608869,10000.0
1630,0.0031309021669144823,1.1,0.5,1857.0509843186087,10000.0
1631,0.0031309021669144823,1.15,0.5,2550.5032509948787,10000.0
1632,0.0031309021669144823,1.2,0.5,14656.273435732928,10000.0
1633,0.0031309021669144823,1.25,0.5,19192.571319431223,10000.0
1634,0.0031309021669144823,1.3,0.5,25041.466960283313,10000.0
1635,0.0031309021669144823,1.35,0.5,32671.384795487505,10000.0
1636,0.0031309021669144823,1.4,0.5,42627.00982093029,10000.0
1637,0.0031309021669144823,1.45,0.5,55617.5947847032,10000.0
1638,0.0031309021669144823,1.5,0.5,72568.76593333962,10000.0
1639,0.0031309021669144823,1.0,0.6000000000000001,1151.15021717558,10000.0
1640,0.0031309021669144823,1.05,0.6000000000000001,1440.9371532076927,10000.0
1641,0.0031309021669144823,1.1,0.6000000000000001,1857.3199946336736,10000.0
1642,0.0031309021669144823,1.15,0.6000000000000001,2550.974359083869,10000.0
1643,0.0031309021669144823,1.2,0.6000000000000001,14656.996829669006,10000.0
1644,0.0031309021669144823,1.25,0.6000000000000001,19193.675830188382,10000.0
1645,0.0031309021669144823,1.3,0.6000000000000001,25043.0960873627,10000.0
1646,0.0031309021669144823,1.35,0.6000000000000001,32673.74126354623,10000.0
1647,0.0031309021669144823,1.4,0.6000000000000001,42630.36954553471,10000.0
1648,0.0031309021669144823,1.45,0.6000000000000001,55622.3397238751,10000.0
1649,0.0031309021669144823,1.5,0.6000000000000001,72575.412956444,10000.0
1650,0.0031309021669144823,1.0,0.7000000000000001,1151.15021717558,10000.0
1651,0.0031309021669144823,1.05,0.7000000000000001,1441.050095544306,10000.0
1652,0.0031309021669144823,1.1,0.7000000000000001,1857.5130206206843,10000.0
1653,0.0031309021669144823,1.15,0.7000000000000001,2551.296950782285,10000.0
1654,0.0031309021669144823,1.2,0.7000000000000001,14657.508662450893,10000.0
1655,0.0031309021669144823,1.25,0.7000000000000001,19194.45588708523,10000.0
1656,0.0031309021669144823,1.3,0.7000000000000001,25044.25785710819,10000.0
1657,0.0031309021669144823,1.35,0.7000000000000001,32675.41303858451,10000.0
1658,0.0031309021669144823,1.4,0.7000000000000001,42632.75757045973,10000.0
1659,0.0031309021669144823,1.45,0.7000000000000001,55625.724975552504,10000.0
1660,0.0031309021669144823,1.5,0.7000000000000001,72580.17086629584,10000.0
1661,0.0031309021669144823,1.0,0.8,1151.15021717558,10000.0
1662,0.0031309021669144823,1.05,0.8,1441.1355284618414,10000.0
1663,0.0031309021669144823,1.1,0.8,1857.6519674634783,10000.0
1664,0.0031309021669144823,1.15,0.8,2551.5421080571155,10000.0
1665,0.0031309021669144823,1.2,0.8,14657.882820640993,10000.0
1666,0.0031309021669144823,1.25,0.8,19195.030258540344,10000.0
1667,0.0031309021669144823,1.3,0.8,25045.10551147514,10000.0
1668,0.0031309021669144823,1.35,0.8,32676.646043014847,10000.0
1669,0.0031309021669144823,1.4,0.8,42634.522818070756,10000.0
1670,0.0031309021669144823,1.45,0.8,55628.2194517094,10000.0
1671,0.0031309021669144823,1.5,0.8,72583.68243333367,10000.0
1672,0.0031309021669144823,1.0,0.9,1151.15021717558,10000.0
1673,0.0031309021669144823,1.05,0.9,1441.2014648480879,10000.0
1674,0.0031309021669144823,1.1,0.9,1857.7630605779932,10000.0
1675,0.0031309021669144823,1.15,0.9,2551.714683637029,10000.0
1676,0.0031309021669144823,1.2,0.9,14658.157661435085,10000.0
1677,0.0031309021669144823,1.25,0.9,19195.454064892176,10000.0
1678,0.0031309021669144823,1.3,0.9,25045.73085321251,10000.0
1679,0.0031309021669144823,1.35,0.9,32677.561987892885,10000.0
1680,0.0031309021669144823,1.4,0.9,42635.82762209472,10000.0
1681,0.0031309021669144823,1.45,0.9,55630.09087311735,10000.0
1682,0.0031309021669144823,1.5,0.9,72586.29903739828,10000.0
1683,0.0031309021669144823,1.0,1.0,1151.15021717558,10000.0
1684,0.0031309021669144823,1.05,1.0,1441.3070061242042,10000.0
1685,0.0031309021669144823,1.1,1.0,1857.8682031553083,10000.0
1686,0.0031309021669144823,1.15,1.0,2551.8689650765186,10000.0
1687,0.0031309021669144823,1.2,1.0,14658.35096732016,10000.0
1688,0.0031309021669144823,1.25,1.0,19195.745781953166,10000.0
1689,0.0031309021669144823,1.3,1.0,25046.159545856313,10000.0
1690,0.0031309021669144823,1.35,1.0,32678.181857358686,10000.0
1691,0.0031309021669144823,1.4,1.0,42636.716978643126,10000.0
1692,0.0031309021669144823,1.45,1.0,55631.33721376071,10000.0
1693,0.0031309021669144823,1.5,1.0,72588.07253817866,10000.0
1694,0.004080571546736739,1.0,0.0,2035.5052930665581,10000.0
1695,0.004080571546736739,1.05,0.0,2035.5052930665581,10000.0
1696,0.004080571546736739,1.1,0.0,2035.5052930665581,10000.0
1697,0.004080571546736739,1.15,0.0,2035.5052930665581,10000.0
1698,0.004080571546736739,1.2,0.0,2035.5052930665581,10000.0
1699,0.004080571546736739,1.25,0.0,2035.5052930665581,10000.0
1700,0.004080571546736739,1.3,0.0,2035.5052930665581,10000.0
1701,0.004080571546736739,1.35,0.0,2035.5052930665581,10000.0
1702,0.004080571546736739,1.4,0.0,2035.5052930665581,10000.0
1703,0.004080571546736739,1.45,0.0,2035.5052930665581,10000.0
1704,0.004080571546736739,1.5,0.0,2035.5052930665581,10000.0
1705,0.004080571546736739,1.0,0.1,2035.5052930665581,10000.0
1706,0.004080571546736739,1.05,0.1,2560.520785616923,10000.0
1707,0.004080571546736739,1.1,0.1,3255.1232628290995,10000.0
1708,0.004080571546736739,1.15,0.1,4244.768796708265,10000.0
1709,0.004080571546736739,1.2,0.1,14589.200407252692,10000.0
1710,0.004080571546736739,1.25,0.1,19081.20237324098,10000.0
1711,0.004080571546736739,1.3,0.1,24886.451650095005,10000.0
1712,0.004080571546736739,1.35,0.1,32457.133258287144,10000.0
1713,0.004080571546736739,1.4,0.1,42331.962777767476,10000.0
1714,0.004080571546736739,1.45,0.1,55212.426104945975,10000.0
1715,0.004080571546736739,1.5,0.1,72013.632557214,10000.0
1716,0.004080571546736739,1.0,0.2,2035.5052930665581,10000.0
1717,0.004080571546736739,1.05,0.2,2562.360056928858,10000.0
1718,0.004080571546736739,1.1,0.2,3258.273949351433,10000.0
1719,0.004080571546736739,1.15,0.2,4250.196465665122,10000.0
1720,0.004080571546736739,1.2,0.2,14597.737491293923,10000.0
1721,0.004080571546736739,1.25,0.2,19094.194141783104,10000.0
1722,0.004080571546736739,1.3,0.2,24905.58378072691,10000.0
1723,0.004080571546736739,1.35,0.2,32484.71105643191,10000.0
1724,0.004080571546736739,1.4,0.2,42371.13091649528,10000.0
1725,0.004080571546736739,1.45,0.2,55267.51617187482,10000.0
1726,0.004080571546736739,1.5,0.2,72090.5006927595,10000.0
1727,0.004080571546736739,1.0,0.30000000000000004,2035.5052930665581,10000.0
1728,0.004080571546736739,1.05,0.30000000000000004,2562.9247293970952,10000.0
1729,0.004080571546736739,1.1,0.30000000000000004,3259.2974806705465,10000.0
1730,0.004080571546736739,1.15,0.30000000000000004,4251.9657090883375,10000.0
1731,0.004080571546736739,1.2,0.30000000000000004,14600.53019610974,10000.0
1732,0.004080571546736739,1.25,0.30000000000000004,19098.453140862886,10000.0
1733,0.004080571546736739,1.3,0.30000000000000004,24911.866849240363,10000.0
1734,0.004080571546736739,1.35,0.30000000000000004,32493.772967140732,10000.0
1735,0.004080571546736739,1.4,0.30000000000000004,42384.024110360006,10000.0
1736,0.004080571546736739,1.45,0.30000000000000004,55285.64725375511,10000.0
1737,0.004080571546736739,1.5,0.30000000000000004,72115.8582132911,10000.0
1738,0.004080571546736739,1.0,0.4,2035.5052930665581,10000.0
1739,0.004080571546736739,1.05,0.4,2563.1988587260953,10000.0
1740,0.004080571546736739,1.1,0.4,3259.8034350389767,10000.0
1741,0.004080571546736739,1.15,0.4,4252.8404837394255,10000.0
1742,0.004080571546736739,1.2,0.4,14601.912071360775,10000.0
1743,0.004080571546736739,1.25,0.4,19100.558493109664,10000.0
1744,0.004080571546736739,1.3,0.4,24914.974860116607,10000.0
1745,0.004080571546736739,1.35,0.4,32498.270495303714,10000.0
1746,0.004080571546736739,1.4,0.4,42390.42130319329,10000.0
1747,0.004080571546736739,1.45,0.4,55294.67077100498,10000.0
1748,0.004080571546736739,1.5,0.4,72128.48417057244,10000.0
1749,0.004080571546736739,1.0,0.5,2035.5052930665581,10000.0
