,p_e,phi,rho,te,s
254,0.000169865,1.05,0.1,794.106601,856.0720517
255,0.000169865,1.1,0.1,3610.603233,2689.316644
256,0.000169865,1.15,0.1,8837.736779,5470.468444
257,0.000169865,1.2,0.1,19125.36162,10000
258,0.000169865,1.25,0.1,25290.45797,10000
259,0.000169865,1.3,0.1,33340.4547,10000
260,0.000169865,1.35,0.1,43966.58474,10000
261,0.000169865,1.4,0.1,57997.87529,10000
262,0.000169865,1.45,0.1,76527.64382,10000
263,0.000169865,1.5,0.1,101000.7817,10000
264,0.000169865,1,0.2,195.7663903,400.6826824
265,0.000169865,1.05,0.2,910.7024371,939.6365806
266,0.000169865,1.1,0.2,3726.450894,2727.299036
267,0.000169865,1.15,0.2,8988.29705,5490.065839
268,0.000169865,1.2,0.2,19327.51271,10000
269,0.000169865,1.25,0.2,25596.65219,10000
270,0.000169865,1.3,0.2,33791.94645,10000
271,0.000169865,1.35,0.2,44618.74067,10000
272,0.000169865,1.4,0.2,58926.26454,10000
273,0.000169865,1.45,0.2,77835.54539,10000
274,0.000169865,1.5,0.2,102829.3456,10000
275,0.000169865,1,0.3,195.7663903,400.6826824
276,0.000169865,1.05,0.3,947.4595053,964.8199498
277,0.000169865,1.1,0.3,3763.190034,2738.725409
278,0.000169865,1.15,0.3,9037.736353,5496.391534
279,0.000169865,1.2,0.3,19394.1653,10000
280,0.000169865,1.25,0.3,25697.65052,10000
281,0.000169865,1.3,0.3,33940.98222,10000
282,0.000169865,1.35,0.3,44834.19752,10000
283,0.000169865,1.4,0.3,59233.1536,10000
284,0.000169865,1.45,0.3,78268.23144,10000
285,0.000169865,1.5,0.3,103434.775,10000
286,0.000169865,1,0.4,195.7663903,400.6826824
287,0.000169865,1.05,0.4,965.3538702,976.8637984
288,0.000169865,1.1,0.4,3781.414397,2744.304821
289,0.000169865,1.15,0.4,9062.493138,5499.537919
290,0.000169865,1.2,0.4,19427.59277,10000
291,0.000169865,1.25,0.4,25748.33116,10000
292,0.000169865,1.3,0.4,34015.77593,10000
